!exclamation-point|ʔ e k s k l ɐ m a ʃ o n p o ʔ ɪ n t
o'connor's|o k o n o ɾ s
o'nuts(2)|ʔ o n ʊ t͡ʃ
oakman|ʔ o ɐ k m a n
obermeyer|ʔ o b e ɾ m e j e ɾ
objector|ʔ o b d͡ʒ e k t o ɾ
oblige|ʔ o b l i ɰ e
obnoxious|ʔ o b n o k s j o ʊ s
obsessing|ʔ o b s e s ɪ ŋ
obstructionist|ʔ o b s t ɾ ʊ k ʃ o n i s t
oceanside|ʔ o ʃ ɐ n s i d e
octahedron|ʔ o k t ɐ h e d ɾ o n
oddi(2)|ʔ o dː ɪ ʔ e
odonovan|ʔ o d o n o b ɐ n
officer(2)|ʔ o f f ɪ s e ɾ
oftentimes|ʔ o f t e n t i m e s
ogilvie|ʔ o ɰ ɪ l b i
ohlendorf|ʔ o h l e n d o ɾ f
okeson|ʔ o x e s o n
oksenberg|ʔ o k s e n b e ɾ ɡ
oldenkamp|ʔ o l d e ŋ k a m p
oleandrin|ʔ o l e ɐ n d ɾ i n
oliger|ʔ o l ɪ ɰ e ɾ
olokuei|ʔ o l o x ʊ e i
omnicom|ʔ o m n i x o m
onomastic|ʔ o n o m a s t ɪ k
oppelt|ʔ o p p e l t
optimists(2)|ʔ o p t ɪ m i s t s
orally|ʔ o ɾ a l l ɪ
orbanco|ʔ o ɾ b a ŋ k o
orchestrates|ʔ o ɾ t͡ʃ e s t ɾ a t e s
ordiway|ʔ o ɾ d ɪ w a ɪ̯
orinda|ʔ o ɾ i n d ɐ
orthodontists|ʔ o ɾ t h o d o n t ɪ s t s
osbon|ʔ o s b o n
oscillations|ʔ o s s ɪ l j a ʃ o n s
oshea|ʔ o ʃ e ɐ
osmosis|ʔ o s m o s ɪ s
ostensible|ʔ o s t e n s ɪ b l e
osterhout|ʔ o s t e ɾ h o ʊ t
ostrum|ʔ o s t ɾ ʊ m
ottaviani|ʔ o t ɐ b ɪ a n ɪ
otwell|ʔ o t w e l l
outbursts(2)|ʔ o ʊ̯ t b ʊ ɾ s t s
outflanked|ʔ a ʊ̯ t f l ɐ ŋ k e d
outler(2)|ʔ o ʊ̯ t l e ɾ
outtakes|ʔ o ʊ t t a x e s
overfield|ʔ o b e ɾ f i e l d
overhauling|ʔ o b e ɾ h a ʊ̯ l ɪ ŋ
overpower|ʔ o b e ɾ p o w e ɾ
overshadowing|ʔ o b e ɾ ʃ ɐ d o w ɪ ŋ
overstuff|ʔ o b e ɾ s t ʊ f f
overturned|ʔ o b e ɾ t u ɾ n e d
owning|ʔ o w n ɪ ŋ
oxygenate|ʔ o k s ɪ h e n a t e
ozier|ʔ o s i e ɾ
pacyna(2)|p ɐ s ɪ n a ʔ
pageantry|p ɐ ɰ e ʔ ɐ n t ɾ ɪ
palco|p a l k o
palombi|p ɐ l u m b ɪ
palumbo|p ɐ l u m b o
pancaked|p ɐ ŋ k a x e d
pangallo|p ɐ ŋ a l l o
pannone|p ɐ n o n e
panphila|p ɐ m p h i l ɐ ʔ
papaleo|p ɐ p a l e o
papaw|p a p a ʊ̯
papazian|p ɐ p ɐ s i ʔ ɐ n
papier|p ɐ p i e ɾ
parana|p ɐ ɾ a n ɐ
paraplegic(2)|p ɐ ɾ ɐ p l e ɰ ɪ k
pareti|p ɐ ɾ e t ɪ
parolee|p ɐ ɾ o l e ʔ e
parshall|p ɐ ɾ s h a l l
participated|p ɐ ɾ t ɪ s ɪ p a t e d
paschke|p ɐ s t͡ʃ k e
paso's|p ɐ s o s
passaro|p ɐ s a ɾ o
pasternack|p ɐ s t e ɾ n a k
paszkiewicz|p ɐ ʂ k j e w ɪ t͡ʃ
pathologies|p ɐ t h o l o ɰ ɪ e s
paules|p a ʊ̯ l e s
pautler(2)|p a ʊ̯ t l e ɾ
pavey|p a b e ɪ̯
pazner|p ɐ s n e ɾ
peanut(2)|p e ɐ n ʊ t
pease|p e ɐ s e
pebley|p e b l e ɪ̯
pechora(2)|p e t͡ʃ o ɾ ɐ
peeks|p e ʔ e k s
peet's|p e ʔ e t s
pembina|p e m b i n ɐ
pena(2)|p e n ɐ ʔ o
pengo|p e ŋ o
pennacchio|p e n n a t͡ʃ ɪ o
pennwalt|p e n w ɐ l t
pentothal|p e n t o t h a l
percentiles|p e ɾ s e n t i l e s
perforce|p e ɾ f o ɾ s e
perryn|p e ɾ ɾ ɪ n
perversity|p e ɾ b e ɾ s i t ɪ
pet's|p e t s
petrodollar|p e t ɾ o d o l j ɐ ɾ
petruska|p e t ɾ u s k ɐ
petticoat|p e t ɪ x o ʔ ɐ t
peverell|p e b e ɾ e l l
pherson|p h e ɾ s o n
philby|p h ɪ l b i
philibert|p h ɪ l ɪ b e ɾ t
phillips'|p h ɪ l l i p s
philosophies|f ɪ l o s o p h ɪ e s
phobic|p h o b ɪ k
phone's|f o n e s
photocopiers|p h o t o k o p j e ɾ s
photometer|p h o t o m e t e ɾ
piano's(2)|p j ɐ n o s
picchi|p ɪ t͡ʃ i
pickar|p ɪ k a ɾ
pickier|p ɪ k j e ɾ
piercey|p j e ɾ s e ɪ̯
pig's|p ɪ ɡ s
pigments|p ɪ ɡ m e n t s
piled|p ɪ l e d
pilkinton|p ɪ l k ɪ n t o n
pinchers|p ɪ n t͡ʃ e ɾ s
pinelli|p ɪ n e l l ɪ
pipetters|p ɪ p e t e ɾ s
pirestani|p ɪ ɾ e s t a n ɪ
pisciotta|p ɪ s ʃ o t ɐ
pistole|p ɪ s t o l e
pitchblende|p ɪ t͡ʃ b l e n d e
pitner|p ɪ t n e ɾ
pj's|p i
placid's|p l a s ɪ d s
plaisted(2)|p l a ɪ̯ s t e d
plane's|p l a n e s
plascencia|p l ɐ s s e n ʃ ɐ
platinum(2)|p l ɐ t i n ʊ m
playfulness|p l a ɪ̯ f ʊ l n e s
plaza(2)|p l ɐ s a ʔ o
pleasurama|p l e ɐ s ʊ ɾ a m ɐ
plexiglass|p l e k s ɪ ɡ l a s
plowman|p l o ʊ̯ m ɐ n
plumage|p l ʊ m a ɰ e
plutonian|p l ʊ t o ɲ ɐ n
podleska|p o d l e s k ɐ
polarography|p o l ɐ ɾ o ɡ ɾ a p h ɪ
poli|p o l ɪ
policymaker|p o l ɪ s ɪ m a x e ɾ
polimeni|p o l ɪ m e n ɪ
poliquin|p o l i x ɪ n
polivka|p o l ɪ f k a
pollinated|p o l l ɪ n a t e d
polybutylene|p o l ɪ b ʊ t ɪ l e n e
polymorphism(2)|p o l ɪ m o ɾ f ɪ s m
pommier|p o m m ɪ e ɾ
pomplun|p u m p l ʊ n
pondered|p o n d e ɾ e d
pontiac(2)|p o n t͡ʃ ɐ k
pontious|p o n t͡ʃ o ʊ s
poorhouse|p o ʔ o ɾ h o ʊ̯ s
posluns|p o s l ʊ n s
postcards(2)|p o s t k ɐ ɾ d͡ʒ s
potamkin|p o t ɐ m k i n
potpourri|p o t p o ʊ ɾ ɾ i
poucher|p o ʊ̯ t͡ʃ e ɾ
pounds(2)|p o ʊ̯ n d s
powerfully|p o w e ɾ f ʊ l l i
poznikov|p o s n i x o b
practitioners(2)|p ɾ ɐ k t ɪ ʃ o n e ɾ s
preconceive|p ɾ e x o n s e i b e
predecessors'|p ɾ e d e s e s o ɾ s
predictor|p ɾ e d i k t o ɾ
predisposed|p ɾ e d ɪ s p o s e d
preludes|p ɾ e l u d e s
prerecord|p ɾ e ɾ e x o ɾ d
presenters(2)|p ɾ e s e n t e ɾ s
preserver(2)|p ɾ e s e ɾ b e ɾ
pressler|p ɾ e s l e ɾ
presuppose|p ɾ e s ʊ p o s e
prevails(2)|p ɾ e b a ɪ̯ l s
preziosi|p ɾ e s ɪ o s i
pricor|p ɾ i x o ɾ
primakov|p ɾ ɪ m a x o b
printed(4)|p ɾ ɪ n t e d
privileged(4)|p ɾ ɪ b ɪ l e ɰ e d
proceed(2)|p ɾ o s e ʔ e d
prochazka|p ɾ o t͡ʃ a s k ɐ
proctors|p ɾ o k t o ɾ s
production(3)|p ɾ o d ʊ k ʃ o n s e
projectile(2)|p ɾ o d͡ʒ e k t ɪ l e θ ɪ
pronghorn|p ɾ o ŋ h o ɾ n
propp|p ɾ o p p
prosecution's|p ɾ o s e k j u ʃ o n s
prosser|p ɾ o s e ɾ
prostrate|p ɾ o s t ɾ a t e
protecting(2)|p ɾ o t e k t ɪ ŋ k
protestantism|p ɾ o t e s t ɐ n t i s m
protuberances|p ɾ o t ʊ b e ɾ a n s e s
prow|p ɾ a ʊ̯
prunty|p ɾ ʊ n t ɪ
psalters|p s ɐ l t e ɾ s
psychopathy|p s ɪ t͡ʃ o p a t h ɪ
pudwill|p ʊ d w i l l
punctures(2)|p ʊ ŋ k t ʊ ɾ e s
purporting|p ʊ ɾ p o ɾ t ɪ ŋ
purvis|p ʊ ɾ b i s
pushes(2)|p ʊ ʃ e s
putco(2)|p ʊ t k o ʔ o
puttnam's|p ʊ t n a m s
pyka|p ɪ x a ʔ
quackery|k x ɐ k e ɾ ɪ
quaglia|k x ɐ ɡ l j a
quarterbacking|k x ɐ ɾ t e ɾ b ɐ k i ŋ
quealy|k x e ɐ l ɪ
queuing|k j ʊ ʔ i ŋ
quietest|k x ɪ e t e s t
quilting|k x ɪ l t i ŋ
quintessentially|k x ɪ n t e s e n ʃ ɐ l i
quito(3)|k x ɪ t o ʔ e s
rackers|ɾ ɐ k e ɾ s
radder|ɾ ɐ d d e ɾ
radin|ɾ a d ɪ n
radley|ɾ a d l e ɪ̯
raffi's|ɾ a f f ɪ s
ragin|ɾ a ɰ ɪ n
ragweed|ɾ ɐ ɡ w e ʔ e d
railroads|ɾ a ɪ̯ l ɾ o ʔ ɐ d͡ʒ
rainley|ɾ a ɪ̯ n l e ɪ̯
rajewski|ɾ ɐ h e ʊ̯ s k i
ramada|ɾ ɐ m a d ɐ
ramberg|ɾ ɐ m b e ɾ ɡ
ramrod|ɾ ɐ m ɾ o d
ramune|ɾ ɐ m u n e
rancorousness|ɾ ɐ ŋ k o ɾ u s n e s
ransdell|ɾ ɐ n s d e l l
ranz|ɾ a n s
rapoca|ɾ ɐ p o x ɐ
raptis|ɾ a p t ɪ s
rateliff|ɾ ɐ t e l ɪ f
rathskeller|ɾ ɐ t h s k e l l e ɾ
raupp|ɾ a ʔ ʊ p p
raveling(2)|ɾ ɐ b e l ɪ ŋ
rayment|ɾ a ɪ̯ m e n t
raze|ɾ a s e
razor's|ɾ ɐ s o ɾ s
reaganite(2)|ɾ e ɐ ɰ ɐ n i t e
realamerica|ɾ e ɐ l ɐ m e ɾ ɪ x a
realize(2)|ɾ e ɐ l i s e
realtor(2)|ɾ e ɐ l t o ɾ
reappear|ɾ e ɐ p e ɐ ɾ
reas|ɾ e ɐ s
reasserting|ɾ e ɐ s e ɾ t ɪ ŋ
reaver's|ɾ e ɐ b e ɾ s
rebo|ɾ e b o
rebuilds|ɾ e b w ɪ l d s
recap(2)|ɾ e x ɐ p
recchia|ɾ e t͡ʃ i ɐ
recitatives|ɾ e s ɪ t ɐ t i b e s
reconnected|ɾ e x o n e k t e d
recordable|ɾ e x o ɾ d a b l e
recovered(2)|ɾ e x o b e ɾ e d
recruited(2)|ɾ e k ɾ u ɪ t e d
recycling(2)|ɾ e s ɪ k l i ŋ
redemptions(2)|ɾ e d e m p ʃ o n s
redish|ɾ e d ɪ ʃ
reds'|ɾ e d s
reduces(2)|ɾ e d u s e s
reestablish|ɾ e ʔ e s t a b l ɪ ʃ
refinance(2)|ɾ e f ɪ n a n s e
reflation|ɾ e f l ɐ ʃ o n
refreshingly|ɾ e f ɾ e s h ɪ ŋ l ɪ
refurbishing|ɾ e f ʊ ɾ b ɪ ʃ i ŋ
rego|ɾ e ɰ o
regs|ɾ e ɡ s
regulated(2)|ɾ e ɰ ʊ l a t e d
rehabilitating(2)|ɾ e h ɐ b ɪ l ɪ t ɐ t i ŋ
reibel|ɾ e ɪ̯ b e l
reigniting|ɾ e ɪ̯ ɡ n i t ɪ ŋ
reinertson|ɾ e ɪ̯ n e ɾ t͡ʃ o n
reinspect|ɾ e ɪ̯ n s p e k t
reintroduced|ɾ e ɪ̯ n t ɾ o d u s e d
reisdorf|ɾ e ɪ̯ s d o ɾ f
reiteration|ɾ e ɪ̯ t e ɾ a ʃ o n
remarrying|ɾ e m a ɾ ɾ j ɪ ŋ
remer|ɾ e m e ɾ
remmington|ɾ e m m ɪ ŋ t o n
renfro|ɾ e n f ɾ o
renouncing|ɾ e n o ʊ̯ n s ɪ ŋ
reoffered|ɾ e o f f e ɾ e d
repetti|ɾ e p e t ɪ
replant|ɾ e p l ɐ n t
replicate|ɾ e p l ɪ x a t e
representatives'|ɾ e p ɾ e s e n t ɐ t i b e s
requalify|ɾ e x w ɐ l ɪ f a ɪ̯
researchers'|ɾ e s æ ɾ t͡ʃ e ɾ s
reser|ɾ e s e ɾ
reserve's|ɾ e s e ɾ b e s
resistant(2)|ɾ e s ɪ s t a n t
resner|ɾ e s n e ɾ
resorting(3)|ɾ e s o ɾ t ɪ ŋ k w
responsibly|ɾ e s p o n s i b l ɪ
restatement|ɾ e s t ɐ t e m e n t
resumption(4)|ɾ e s u m p ʃ o n
retailed|ɾ e t a ɪ̯ l e d
retest|ɾ e t e s t
retracts|ɾ e t ɾ a k t s
retrieve|ɾ e t ɾ i e b e
retzer|ɾ e t͡s e ɾ
revaluing|ɾ e b ɐ l u ʔ ɪ ŋ
reverbed|ɾ e b e ɾ b e d
reviewer's|ɾ e b j u e ɾ s
revisionists|ɾ e b ɪ ʃ o n i s t s
revoke|ɾ e b o x e
revolutionizing|ɾ e b o l u ʃ o n i s ɪ ŋ
rewrite|ɾ e w ɾ i t e
rheault|ɾ h o l t
rhinestones|ɾ ɪ n e s t o n e s
rhode-islanders|ɾ o d e i s l ɐ n d e ɾ s
riadys|ɾ ɪ ɐ d͡ʒ i s
ricciardelli|ɾ ɪ k ʃ ɐ ɾ d e l l ɪ
rickenbach|ɾ ɪ k e n b ɐ x
ricoh's|ɾ ɪ x o h s
rideau|ɾ ɪ d e a ʊ̯
riedel|ɾ ɪ e d e l
rifts|ɾ ɪ f t s
rightness|ɾ a ɪ̯ t n e s
rigsby|ɾ ɪ ɡ s b i
rindt|ɾ ɪ n t
ringe|ɾ ɪ ŋ e
rintel|ɾ ɪ n t e l
rioter|ɾ ɪ o t e ɾ
ripostes|ɾ ɪ p o s t e s
risden|ɾ ɪ s d e n
riskiness|ɾ ɪ s k ɪ n e s
ritch|ɾ ɪ t͡ʃ
ritson|ɾ ɪ t͡ʃ o n
riviello|ɾ ɪ b j e l l o
roadsides|ɾ o ɐ d s i d e s
roars|ɾ o ɐ ɾ s
robots(2)|ɾ o b o t͡ʃ
rockman|ɾ o k m ɐ n
rodabaugh|ɾ o d ɐ b a ʔ ʊ̯
rodenbeck|ɾ o d e n b e k
roehm|ɾ o e h m
roesner|ɾ o e s n e ɾ
rohrbach|ɾ o h ɾ b ɐ x
rolison|ɾ o l ɪ s o n
rollinson|ɾ o l l ɪ n s o n
ronning|ɾ o n n ɪ ŋ
roosters|ɾ o ʔ o s t e ɾ s
rosabel|ɾ o s a b e l
rosebrock|ɾ o s e b ɾ o k
rosenfield|ɾ o s e n f i e l d
rosett|ɾ o s e t
rosneft|ɾ o s n e f t
rossetto|ɾ o s e t o
rostov|ɾ o s t o b
rothenberg|ɾ o t h e n b e ɾ ɡ
roupe|ɾ o ʊ̯ p e
routson|ɾ o ʊ̯ t͡ʃ o n
rozas|ɾ o s ɐ s
rubenstein|ɾ ʊ b e n s t e ʔ ɪ n
rucinski|ɾ ʊ s i n s k ɪ
rudenstein(2)|ɾ ʊ d e n s t e ʔ ɪ n
ruffo|ɾ ʊ f f o
ruggeri|ɾ ʊ ɡ ɡ e ɾ ɪ
runion|ɾ ʊ n j o n
russification|ɾ ʊ s ɪ f ɪ x a ʃ o n
ruthie|ɾ ʊ t h i ʔ e
ruttle|ɾ ʊ t l e
rwandese|ɾ w ɐ n d e s e
ryckman|ɾ ɪ k m a n
rykiel(2)|ɾ ɪ x j e l
saddles|s ɐ dː l e s
sags|s ɐ ɡ s
salient(2)|s ɐ l i e n t
salivating|s ɐ l ɪ b a t ɪ ŋ
salmans|s ɐ l m a n s
salwen|s ɐ l w e n
samek|s ɐ m e k
sampley|s ɐ m p l e ɪ̯
sanofi|s ɐ n o f ɪ
santa-maria(2)|s ɐ n t ɐ m ɐ ɾ i ɐ s a
saouma|s ɐ o ʔ u m ɐ
saporito|s ɐ p o ɾ i t o
sare|s a ɾ e
sassnet's|s ɐ s n e t s
satisfies|s ɐ t ɪ s f i e s
saunders'|s a ʊ̯ n d e ɾ s
sauseda|s a ʊ̯ s e d ɐ
saviano|s ɐ b j a n o
saxophones|s ɐ k s o p h o n e s
sayer|s a j e ɾ
saylors|s a ɪ̯ l o ɾ s
scalfaro|s k ɐ l f a ɾ o
scammon|s k ɐ m o n
schaber|ʃ ɐ b e ɾ
schaffner|ʃ ɐ f n e ɾ
schardt|ʃ ɐ ɾ t
schaufler(2)|ʃ a ʊ̯ f l e ɾ
scheeler|ʃ e e l e ɾ
schemm|ʃ e m m
scherf|ʃ e ɾ f
scheufler|ʃ e u f l e ɾ
schieber|ʃ i e b e ɾ
schiraldi|ʃ ɪ ɾ a l d ɪ
schlauch|ʃ l a ʊ̯ x
schlicher|ʃ l ɪ t͡ʃ e ɾ
schlup|ʃ l ʊ p
schmelzle|ʃ m e l z l e
schmooze|ʃ m ʊ s e
schneerson|ʃ n e ɾ s o n
schnitz|ʃ n ɪ t͡s
schoeneman|ʃ o e n e m ɐ n
schooley|ʃ u l e ɪ̯
schork|ʃ o ɾ k
schrank|ʃ ɾ ɐ ŋ k
schubert's|ʃ ʊ b e ɾ t s
schuld|ʃ ʊ l d
schum|ʃ u m
schurr|ʃ ʊ ɾ ɾ
schwam|ʃ w a m
schwarzer|ʃ w ɐ ɾ s e ɾ
schweiger|ʃ w e ɪ̯ ɰ e ɾ
schwindt|ʃ w ɪ n t
scinto|s k ɪ n t o
scoffield|s k o f j e l d
sconnix|s k o n n ɪ k s
scorekeepers|s k ɔ ɾ k e ʔ e p e ɾ s
scotts|s k o t͡ʃ t͡ʃ
scrapes|s k ɾ a p e s
screed|s k ɾ e ʔ e d
scribble|s k ɾ i b b l e
scuttled|s k ʊ t l e d
seagrove|s e ɐ ɡ ɾ o b e
seaman's|ʃ ɐ m a n s
seasonable|s e ɐ s o n a b l e
secretions|s e k ɾ e ʃ o n s
secularists(3)|s e x ʊ l a ɾ ɪ s t s
seedsman|s e ʔ e d s m ɐ n
sekisui|s e x ɪ s u ʔ ɪ
self-confident|s e l f k o n f ɪ d e n t
selfishness|s e l f ɪ ʃ n e s
semi-height|s e m ɪ h e i k h t
semiconductor's(3)|s e m ɪ k o n d u k t o ɾ s
semifinish|s e m ɪ f i n ɪ ʃ
sensationalize|s e n s a ʃ o n ɐ l i s e
sequiturs|s e x ɪ t u ɾ s
serbin|s e ɾ b ɪ n
serengeti|s e ɾ e ŋ e t ɪ
serle|s e ɾ l e
serological|s e ɾ o l o ɰ ɪ x a l
servile|s e ɾ b i l e
sesno's|s e s n o s
sethness|s e θ n e s
settlemire|s e t l e m i ɾ e
severeville|s e b e ɾ e b i l j e
sewall|s e w ɐ l l
sexless|s e k s l e s s
sgambati|s ɡ ɐ m b a t ɪ ʔ
shadowlands|ʃ ɐ d o w l a n d s
shaklee|ʃ ɐ k l e ʔ e
shalnev(2)|ʃ ɐ l n e f
shamburg|ʃ ɐ m b u ɾ ɡ
shamus|ʃ ɐ m u s
shanley|ʃ ɐ n l e ɪ̯
shaping|ʃ ɐ p i ŋ
share's|ʃ ɐ ɾ e s
sharpy|ʃ ɐ ɾ p i
shays|ʃ a ɪ̯ s
sheared|ʃ e ɾ e d
sheehan(2)|ʃ e e h ɐ n
sheetz|ʃ e e t͡s
sherbourne|ʃ e ɾ b o ʊ̯ ɾ n e
sherrgold|ʃ e ɾ ɡ o l d
shifrin|ʃ ɪ f ɾ i n
shingledecker|ʃ ɪ ŋ ɡ l e d e k e ɾ
shipbuildings|ʃ ɪ p b w i l d ɪ ŋ s
shirlie|ʃ ɪ ɾ l i
shod|ʃ o d
sholes|ʃ o l e s
shorin|ʃ o ɾ ɪ n
shortz's|ʃ o ɾ t͡s ɪ s
shoults|ʃ ʊ l t͡ʃ
shrader|ʃ ɾ ɐ d e ɾ
shrewsberry|ʃ ɾ u s b e ɾ ɾ ɪ
shrouds|ʃ ɾ o ʊ̯ d s
shuffling|ʃ ʊ f l i ŋ
shultis|ʃ ʊ l t i s
shute|ʃ u t e
sickened|s ɪ k e n e d
siddell|s ɪ dː e l l
siebold|ʃ e b o l d
sign's|s ɪ ɡ n
sikhs|s ɪ k h s
silga|s ɪ l ɡ a ʔ
sillier|s ɪ l l j e ɾ
simco|s ɪ m k o
simione|s ɪ m ɪ o n e
sinsabaugh|s ɪ n s ɐ b a ʔ ʊ ɡ h
siskin|s ɪ s k i n
sister's|s ɪ s t e ɾ s
siwek|ʃ w e k
sixteenth(2)|s ɪ k s t e ʔ e n t
skender|s k e n d e ɾ
skewes|s k j u e s
skier(2)|s k j e ɾ
skimping|s k ɪ m p i ŋ
slat|s l ɐ t
slawson|s l a ʊ̯ s o n
slemp|s l e m p
slighting|s l ɪ ɡ h t i ŋ
slipping|s l ɪ p i ŋ
slob|s l o b
slogans|s l o ɰ ɐ n s
slouch|s l o ʊ̯ x
slowdowns|s l o ʊ̯ d a ʊ̯ n s
slums|s l u m s
smithkline's|s m ɪ θ k l i n e s
smokestack|s m o x s t ɐ k
snapple|s n a p p l e
snazzy|s n a s z ɪ
sneeze|s n e e s e
snicker|s n ɪ k e ɾ
snitch|s n ɪ t͡ʃ
snuffing|s n ʊ f f i ŋ
sobbed|s o b b e d
soberly|s o b e ɾ l ɪ
socha|s o t͡ʃ ɐ
societal|s o ʃ e t ɐ l
sofer's|s o f e ɾ s
solemnly|s o l e m n l ɪ
sollenberger|s o l l e n b e ɾ ɡ e ɾ
solorzano|s o l o ɾ s a n o
solzhenitsyn|s o l s h e n i t͡ʃ ɪ n
somersaults|s o m e ɾ s a ʊ̯ l t͡ʃ
son's|s o n s
sonnet|s o n e t
sonorous|s o n o ɾ o ʊ s
sosebee|s o s e b e e
soukup|s o ʊ̯ x u p
soundness|s a ʊ̯ n d n e s
soured|s o ʊ̯ ɾ e d
sovexportfilm|s o b e k s p o ɾ t f i l m
spacelink|s p ɐ s e l ɪ ŋ k
spagna|s p ɐ ɡ n a ʔ
sparano|s p ɐ ɾ a n o
specialist(2)|s p e ʃ ɐ l i s t
spectrograph|s p e k t ɾ o ɡ ɾ a p
speeded|s p e e d e d
spendthrift|s p e n d θ ɾ i f t
spieth|s p i ʔ e t
spillover|s p ɪ l l o b e ɾ
spiritualism|s p ɪ ɾ ɪ t ʃ ʊ ɐ l i s m
spitler|s p ɪ t l e ɾ
spleisson|s p l e ɪ̯ s s o n
spoerl|s p o e ɾ l
sponsler|s p o n s l e ɾ
sports'|s p o ɾ t s
springfield's|s p ɾ ɪ ŋ f iː l d s
sprogus|s p ɾ o ɰ ʊ s
spurning|s p ʊ ɾ n i ŋ
squabbling|s k w ɐ b b l i ŋ
squiggle|s k ɪ ɡ ɡ l e
srinivasan|s ɾ ɪ n ɪ b a s ɐ n
st_martin|ʔ e s t m ɐ ɾ t i n
stabilizing|s t ɐ b ɪ l i s ɪ ŋ
staiger|s t ɐ ʔ ɪ ɰ e ɾ
stalcup|s t ɐ l k u p
stalled|s t ɐ l l e d
stamand|s t ɐ m a n d
stampings|s t ɐ m p i ŋ s
standard-bearer|s t ɐ n d ɐ ɾ d b e ɾ e ɾ
standridge|s t ɐ n d ɾ i d͡ʒ e
stanley's|s t ɐ n l e ɪ̯ s
starn|s t ɐ ɾ n
starship|s t ɐ ɾ ʃ i p
starwave|s t ɐ ɾ w a b e
statton|s t ɐ t o n
stauber|s t a ʔ ʊ b e ɾ
stavinoha|s t ɐ b ɪ n o h ɐ
steadiness|s t ɐ d ɪ n e s
steams|s t e ɐ m s
steckler|s t e k l e ɾ
steels|s t e ʔ e l s
steere|s t e ɪ̯ ɐ
steinbock|s t e ɪ̯ n b o k
steinkamp|s t e ɪ̯ ŋ k a m p
stemming|s t e m ɪ ŋ
stenger|s t e ŋ e ɾ
stepladders|s t e p l ɐ d d e ɾ s
stereotypical(2)|s t e ɾ e o t ɪ p i x ɐ l
sternfeld|s t e ɾ n f e l d
stethoscopes|s t e t h o s k o p e s
steverson|s t e b e ɾ s o n
sticht|s t ɪ t͡ʃ t
stiefvater|s t ɪ e f b ɐ t e ɾ
stiger|s t ɪ ɰ e ɾ
stirling's|s t ɪ ɾ l i ŋ s
stockert|s t o k e ɾ t
stoffers|s t o f f e ɾ s
stol|s t o l
stolpe|s t o l p e
stonebraker(2)|s t o n e b ɾ ɐ x e ɾ
storie|s t o ɾ j e
stouffs(2)|s t o ʊ̯ f s
straightedge|s t ɾ a ɪ̯ t e d͡ʒ
stratas|s t ɾ a t ɐ s
stratus's|s t ɾ a t ʊ s ɪ s
streaked|s t ɾ i ɐ x e d
streich|s t ɾ e ɪ̯ h
streps|s t ɾ e p s
strictures|s t ɾ ɪ k t u ɾ e s
strohman|s t ɾ o h m ɐ n
stromgren|s t ɾ o m ɡ ɾ e n
strozier|s t ɾ o s j e ɾ
strzelecki(2)|s t ɾ s e l e t͡s k i
student's|s t ʊ d e n t s
stupendous|s t ʊ p e n d o ʊ s
stutler|s t ʊ t l e ɾ
subcompacts|s ʊ b k u m p ɐ k t s
subjects(2)|s ʊ b d͡ʒ e k t s
subliminally|s ʊ b l ɪ m ɪ n a l l ɪ
substituting|s ʊ b s t ɪ t u t ɪ ŋ
suchan|s u t͡ʃ ɐ n
suggests(3)|s ʊ ɡ d͡ʒ e s t s
suitability|s ʊ ɪ t ɐ b i l ɪ t͡ʃ
summerall|s ʊ m m e ɾ a l l
sundae's|s ʊ n d a ʔ e s
sunnyside|s ʊ n ɲ ɪ s i d e
sunstates|s ʊ n s t a t e s
superdelegate|s ʊ p e ɾ d e l e ɰ a t e
supranational|s ʊ p ɾ ɐ n ɐ ʃ o n a l
surgically(2)|s ʊ ɾ d͡ʒ ɪ x ɐ l l i
surmounting|s ʊ ɾ m o ʊ̯ n t ɪ ŋ
surratt|s ʊ ɾ a t
surrette|s ʊ ɾ e t e
suss|s ʊ s
sustains|s ʊ s t a ʔ ɪ n s
swainston|s w ɐ ʔ ɪ n s t o n
swarms|s w ɐ ɾ m s
swedberg|s w e d b e ɾ ɡ
swig|s w i ɡ
swindell|s w ɪ n d e l l
swinney|s w ɪ n e ɪ̯
swordfish|s ʊ ɾ d f i ʃ
sybille|s ɪ b i l j e
sylvan|s ɪ l b a n
symmonds|s ɪ m o n d s
synergy's|s ɪ n e ɾ ɡ i s
szafran|s ɐ f ɾ a n
szilard|s ɪ l a ɾ d
taaffe|t ɐ ʔ ɐ f f e
tabb|t ɐ b b
tacke|t a k e
taillon|t ɐ ʔ ɪ l l o n
taiyo|t a ɪ̯ o
tamburello|t ɐ m b ʊ ɾ e l l o
tanguma|t ɐ ŋ u m ɐ ʔ
tankersley|t ɐ ŋ k e ɾ s l e ɪ̯
tantalum|t ɐ n t a l ʊ m
tanzania's(2)|t ɐ n s a n j ɐ s
tapered|t ɐ p e ɾ e d
tasted(2)|t ɐ s t e d
tatham|t ɐ t h a m
tattle|t ɐ t l e
tauer|t a ʊ̯ e ɾ
teamsters'|t e ɐ̯ m s t e ɾ s
technologically(2)|t e k n o l o ɰ ɪ x ɐ l l i
teherani|t e h e ɾ a n ɪ
teitelbaum|t e ɪ̯ t e l b a ʔ ʊ m
teledesic|t e l e d e s ɪ k
telematics|t e l e m a t ɪ k s
